Source,Target,Weight
14,0,20.933192346640457
93,0,32.322524219339904
12,0,48.40702996199019
30,0,24.37090250532431
111,0,32.35092522005943
55,0,20.501743858149062
107,0,28.074400427611117
18,0,62.167895042923824
95,1,37.14658992420456
21,2,23.19190040565183
50,2,50.56672861589973
62,2,24.80008942291756
22,2,26.61371372468893
70,2,28.01067925660409
48,2,24.39914442262329
51,2,32.94744601093195
20,3,21.31860679884144
14,3,21.30994959394633
23,3,24.98353120101788
25,3,32.198071014100535
44,4,39.77803622570551
5,4,33.661083176336234
46,4,50.984730766476574
4,5,33.661083176336234
99,6,31.03648178393663
99,7,38.87998222920348
8,7,26.032697164489267
43,8,29.840445766924983
78,8,31.62020230471286
60,8,31.510711170360768
22,8,22.210413043130057
85,8,20.42587841667116
97,8,24.153685861107466
48,8,39.37662666227728
33,8,24.43382880528071
64,8,47.56352702530362
50,8,30.34794743352026
13,8,20.11309966430225
7,8,26.032697164489267
42,8,23.082664020750425
63,9,48.583173464083416
62,9,29.097834547698525
56,9,28.16821301315872
86,10,50.79184563415286
38,10,59.82678558413366
82,11,22.175589109335288
0,12,48.40702996199019
92,12,21.6722646057341
93,12,59.67328948689907
18,12,80.4485421720991
13,12,47.38627215537402
50,12,28.723178220098205
30,12,48.1136690894626
61,12,22.82841216302881
14,12,23.76407299505805
111,12,28.15902333873328
55,12,31.58127774617085
107,12,40.95142172605998
103,12,23.711346281144564
12,13,47.38627215537402
14,13,21.585694763313093
18,13,26.748821548289044
8,13,20.11309966430225
93,13,25.67647418219353
107,13,28.356535431019815
30,13,31.18349509959109
0,14,20.933192346640457
18,14,22.14448701181891
13,14,21.585694763313093
12,14,23.76407299505805
3,14,21.30994959394633
56,15,38.88811575032741
88,15,24.71706557378606
35,15,27.09695712998492
50,16,22.40615464900445
22,16,24.71031260188158
19,17,80.89104614147385
74,17,22.320432253935472
29,17,28.403647769064776
46,17,26.04945930410044
55,18,25.22293164314289
92,18,25.613903617043626
12,18,80.4485421720991
13,18,26.748821548289044
30,18,30.728425581793207
103,18,25.185135956324604
0,18,62.167895042923824
93,18,45.91465123552504
112,18,24.673147548722167
14,18,22.14448701181891
111,18,38.95749217569616
101,18,25.000233473145794
107,18,29.299880033528957
105,18,27.71554342863794
75,19,30.144660032562147
17,19,80.89104614147385
46,19,23.201095658265963
74,19,24.301045666206715
3,20,21.31860679884144
62,21,22.596885929311604
50,21,26.729771309673534
53,21,31.658709317460826
70,21,37.40149646160739
2,21,23.19190040565183
110,21,25.13313076574851
2,22,26.61371372468893
62,22,27.010622489444646
69,22,20.85572142496804
50,22,66.67420569975171
41,22,126.57112712972764
48,22,75.53660009612221
42,22,87.13826986156899
16,22,24.71031260188158
97,22,31.56405510257182
54,22,25.340535324481124
110,22,31.264824668848835
8,22,22.210413043130057
85,22,40.96336126549837
70,22,51.447604909108925
3,23,24.98353120101788
25,23,24.554202817668248
49,23,23.602587607535277
74,24,49.90594295368325
34,24,42.33664313992495
72,24,22.48925264318247
3,25,32.198071014100535
37,25,28.375405907346195
23,25,24.554202817668248
49,25,26.52860759980952
110,26,24.9192961821526
59,27,25.314659453818305
79,28,29.349098676116647
60,28,20.22800685545149
17,29,28.403647769064776
0,30,24.37090250532431
111,30,24.228201856682706
12,30,48.1136690894626
93,30,32.62377908692168
55,30,54.00592956009751
107,30,32.81595165036012
13,30,31.18349509959109
18,30,30.728425581793207
104,31,45.26074988295236
32,31,54.50523562629742
104,32,49.61621727834464
31,32,54.50523562629742
78,33,31.924272588963444
80,33,21.543458417676824
8,33,24.43382880528071
64,33,58.829076622959285
60,33,48.76806081178149
74,34,25.251371861419308
24,34,42.33664313992495
49,35,23.075440145975143
36,35,56.20246391729147
15,35,27.09695712998492
56,35,27.70879277472438
35,36,56.20246391729147
25,37,28.375405907346195
86,38,21.62593446217338
10,38,59.82678558413366
86,39,22.757440009799737
52,40,39.4069459855106
46,40,32.52356510452292
90,40,30.232903706376277
59,40,34.100052024791246
82,40,21.646667877763228
108,40,21.210956925188103
91,40,64.10989821309226
47,40,39.90817378554484
89,40,103.26828446355265
62,41,21.35568889023083
48,41,59.75548884052987
70,41,45.66104087971069
22,41,126.57112712972764
85,41,23.639529235488705
50,41,44.23362023021944
70,42,32.350506919162136
110,42,22.2164407540198
48,42,47.00636375705097
8,42,23.082664020750425
54,42,20.92318766828214
98,42,22.16103641345508
50,42,47.49277338891457
22,42,87.13826986156899
97,42,26.230983374393585
85,42,32.070376656092115
8,43,29.840445766924983
4,44,39.77803622570551
94,44,87.21964246099864
67,44,30.341581071883272
65,44,78.75928046651394
45,44,57.15857405623158
113,44,46.36509077387072
94,45,36.02337467321895
113,45,34.71286507120063
44,45,57.15857405623158
65,45,47.97788760375011
89,46,43.954259225314345
19,46,23.201095658265963
52,46,21.619803035260286
47,46,25.11618282046237
4,46,50.984730766476574
40,46,32.52356510452292
17,46,26.04945930410044
91,46,25.041214810765112
89,47,39.812105148516856
40,47,39.90817378554484
91,47,27.964591852574834
46,47,25.11618282046237
50,48,57.84183152642191
97,48,20.23882304372428
64,48,42.73172932305638
62,48,22.91619071652686
8,48,39.37662666227728
70,48,47.3281575555596
2,48,24.39914442262329
78,48,33.56735910485145
22,48,75.53660009612221
41,48,59.75548884052987
85,48,23.782469883653217
42,48,47.00636375705097
35,49,23.075440145975143
23,49,23.602587607535277
59,49,33.47708077913068
25,49,26.52860759980952
51,50,20.62957734085586
41,50,44.23362023021944
110,50,28.87017059988903
85,50,24.68172813218768
12,50,28.723178220098205
70,50,46.619090898232265
22,50,66.67420569975171
42,50,47.49277338891457
2,50,50.56672861589973
97,50,36.79192549817867
62,50,35.71297781108102
8,50,30.34794743352026
98,50,21.153243249312748
48,50,57.84183152642191
21,50,26.729771309673534
16,50,22.40615464900445
82,51,25.049498396111403
50,51,20.62957734085586
114,51,42.721668458812765
2,51,32.94744601093195
40,52,39.4069459855106
46,52,21.619803035260286
91,52,24.06449025192885
89,52,30.61333985121873
106,53,28.79989665496036
70,53,45.88473321024233
62,53,20.23026605428928
21,53,31.658709317460826
85,54,60.5459411279876
22,54,25.340535324481124
42,54,20.92318766828214
107,55,34.58709265871981
93,55,20.444792111689296
